# Annotated with Bakta
# Software: v1.8.2
# Database: v5.0, light
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_1	cds	32814	33344	-	LDJNFA_00180	mreD	Rod shape-determining protein MreD	SO:0001217, UniRef:UniRef50_A0A0R1VK50
contig_1	cds	33344	34198	-	LDJNFA_00185	mreC	Cell shape-determining protein MreC	SO:0001217, UniRef:UniRef50_A0A2Z6TSH6
contig_1	cds	34245	35249	-	LDJNFA_00190	mreB	Cell shape-determining protein MreB	SO:0001217, UniRef:UniRef50_A0A508YKV9
contig_1	cds	35353	35976	-	LDJNFA_00195		MPN domain-containing protein	SO:0001217, UniRef:UniRef50_A0A0R1VG41
contig_1	cds	36032	36703	-	LDJNFA_00200		HAD family phosphatase	SO:0001217, UniRef:UniRef50_D0R4U4
contig_1	cds	36710	37966	-	LDJNFA_00205		Bifunctional folylpolyglutamate synthase/dihydrofolate synthase	SO:0001217, UniRef:UniRef50_A0A137PR03
contig_1	cds	37968	40607	-	LDJNFA_00210		Valine--tRNA ligase	SO:0001217, UniRef:UniRef50_P36420
contig_1	ncRNA-region	40645	40849	-			T-box leader	RFAM:RF00230, SO:0000140
contig_1	cds	40894	41598	-	LDJNFA_00215		Pseudouridine synthase	SO:0001217, UniRef:UniRef50_D5H2J8
contig_1	cds	41642	42862	-	LDJNFA_00220		putative tRNA sulfurtransferase	SO:0001217, UniRef:UniRef50_Q03R12
contig_1	cds	42864	44024	-	LDJNFA_00225		NifS/IcsS -like protein	SO:0001217, UniRef:UniRef50_P31672
contig_1	cds	44104	45819	-	LDJNFA_00230	ezrA	Septation ring formation regulator EzrA	SO:0001217, UniRef:UniRef50_F0K1I6
contig_1	cds	46105	46716	+	LDJNFA_00235		30S ribosomal protein S4	SO:0001217, UniRef:UniRef50_Q042M7
contig_1	cds	46800	47270	+	LDJNFA_00240		DUF1694 domain-containing protein	SO:0001217, UniRef:UniRef50_Q1GAV5
contig_1	cds	47270	48586	+	LDJNFA_00245	yrvN	Uncharacterized AAA domain-containing protein YrvN	SO:0001217, UniRef:UniRef50_O34528
contig_1	ncRNA	48679	48769	+	LDJNFA_00250	Lacto-usp	Lacto-usp RNA	RFAM:RF01710, SO:0000655
contig_1	cds	48895	49176	+	LDJNFA_00255		Cell division protein	SO:0001217, UniRef:UniRef50_K0NUH8
contig_1	cds	49225	49686	+	LDJNFA_00260		Universal stress protein	SO:0001217, UniRef:UniRef50_A0A1Z5IX50
contig_1	cds	49759	50952	-	LDJNFA_00265	rodA	Peptidoglycan glycosyltransferase RodA	SO:0001217, UniRef:UniRef50_A0A1D7TT63
contig_1	cds	50966	51193	-	LDJNFA_00270		DUF2969 domain-containing protein	SO:0001217, UniRef:UniRef50_A0A0L0RJE3
contig_1	cds	51202	51507	-	LDJNFA_00275		Putative membrane protein insertion efficiency factor	SO:0001217, UniRef:UniRef50_Q1GAW1
contig_1	cds	51507	52496	-	LDJNFA_00280		Cell shape-determining protein Mbl	SO:0001217, UniRef:UniRef50_P39751
contig_1	cds	52580	52810	-	LDJNFA_00285		hypothetical protein	
contig_1	cds	52869	53306	-	LDJNFA_00290		ATP synthase epsilon chain	SO:0001217, UniRef:UniRef50_Q9RGY0
contig_1	cds	53318	54757	-	LDJNFA_00295		ATP synthase subunit beta	SO:0001217, UniRef:UniRef50_Q9JXQ2
contig_1	cds	54779	55741	-	LDJNFA_00300		ATP synthase gamma chain	SO:0001217, UniRef:UniRef50_Q9RGY2
contig_1	cds	55752	57263	-	LDJNFA_00305		ATP synthase subunit alpha	SO:0001217, UniRef:UniRef50_A0A0B2K094
contig_1	cds	57278	57826	-	LDJNFA_00310		ATP synthase subunit delta	SO:0001217, UniRef:UniRef50_Q1GAW8
contig_1	cds	57826	58332	-	LDJNFA_00315		ATP synthase subunit b	SO:0001217, UniRef:UniRef50_Q9RGY5
contig_1	cds	58366	58593	-	LDJNFA_00320		ATP synthase subunit c	SO:0001217, UniRef:UniRef50_Q74K20
contig_1	cds	58611	59324	-	LDJNFA_00325		ATP synthase subunit a	SO:0001217, UniRef:UniRef50_F0TEE5
contig_1	cds	59445	60074	-	LDJNFA_00330		Uracil phosphoribosyltransferase	SO:0001217, UniRef:UniRef50_P70881
contig_1	cds	60162	61169	-	LDJNFA_00335		Threonylcarbamoyl-AMP synthase	SO:0001217, UniRef:UniRef50_I7IW88
contig_1	cds	61173	62015	-	LDJNFA_00340		Release factor glutamine methyltransferase	SO:0001217, UniRef:UniRef50_A0A061C763
contig_1	cds	62008	63096	-	LDJNFA_00345		Peptide chain release factor 1	SO:0001217, UniRef:UniRef50_R9LWK3
contig_1	cds	63110	63709	-	LDJNFA_00350		Thymidine kinase	SO:0001217, UniRef:UniRef50_A0A3N5QF13
contig_1	cds	63852	65204	+	LDJNFA_00355	murT	Lipid II isoglutaminyl synthase (glutamine-hydrolyzing) subunit MurT	SO:0001217, UniRef:UniRef50_Q1WUD8
contig_1	tRNA	65688	65760	-	LDJNFA_00360	trnQ	tRNA-Gln(ctg)	SO:0000261
contig_1	tRNA	65768	65839	-	LDJNFA_00365	trnE	tRNA-Glu(ctc)	SO:0000259
contig_1	cds	65924	66946	+	LDJNFA_00370		Beta-lactamase	SO:0001217, UniRef:UniRef50_D5QA53
contig_1	cds	67014	67208	-	LDJNFA_00375		Holin	SO:0001217, UniRef:UniRef50_I7JYU7
contig_1	cds	67378	68769	-	LDJNFA_00380		MFS domain-containing protein	SO:0001217, UniRef:UniRef50_Q74K30
contig_1	ncRNA	68827	68895	-	LDJNFA_00385	emrB-Lactobacillus	emrB-Lactobacillus RNA	RFAM:RF02971, SO:0000655
contig_1	cds	68904	70241	-	LDJNFA_00390		Glucose-6-phosphate isomerase	SO:0001217, UniRef:UniRef50_P80860
contig_1	cds	70324	70938	-	LDJNFA_00395	vanZ	VanZ domain-containing protein	SO:0001217, UniRef:UniRef50_D0R4Y4
contig_1	cds	71080	73248	+	LDJNFA_00400		Glycerol phosphate lipoteichoic acid synthase 1	SO:0001217, UniRef:UniRef50_I7KI50
contig_1	cds	73293	74738	-	LDJNFA_00405		histidine kinase	SO:0001217, UniRef:UniRef50_K0NZE3
contig_1	cds	74747	75478	-	LDJNFA_00410		hypothetical protein	PFAM:PF00072.27, PFAM:PF00486.31
contig_1	cds	75478	75870	-	LDJNFA_00415	sdpI	SdpI family protein	SO:0001217, UniRef:UniRef50_Q74K38
contig_1	cds	75894	76859	-	LDJNFA_00420		Mannose-6-phosphate isomerase	SO:0001217, UniRef:UniRef50_A0A0D5MJX5
contig_1	cds	76919	78079	-	LDJNFA_00425		Bifunctional beta-cystathionase/maltose regulon repressor	SO:0001217, UniRef:UniRef50_A0A1W6NBK3
contig_1	cds	78260	78358	-	LDJNFA_00430		hypothetical protein	
contig_1	tmRNA	78452	78813	-	LDJNFA_00435	ssrA	transfer-messenger RNA, SsrA	SO:0000584
contig_1	cds	78866	80053	-	LDJNFA_00440		Acetate kinase	SO:0001217, UniRef:UniRef50_P37877
contig_1	cds	80091	81092	-	LDJNFA_00445		N6-Mtase domain-containing protein	SO:0001217, UniRef:UniRef50_I7LB00
contig_1	cds	81281	81784	-	LDJNFA_00450		hypothetical protein	PFAM:PF15980.8
contig_1	cds	81753	81980	-	LDJNFA_00455		hypothetical protein	
contig_1	cds	81970	82395	-	LDJNFA_00460		hypothetical protein	
contig_1	cds	82373	82744	-	LDJNFA_00465		Prepilin-type N-terminal cleavage/methylation domain-containing protein	SO:0001217, UniRef:UniRef50_A0A0R1XZK3
contig_1	cds	82765	83769	-	LDJNFA_00470		Type II secretion system protein F	SO:0001217, UniRef:UniRef50_N1ZR72
contig_1	cds	83735	84712	-	LDJNFA_00475		T2SP-E domain-containing protein	SO:0001217, UniRef:UniRef50_A0A0R1VFX5
contig_1	cds	84826	85554	-	LDJNFA_00480		putative transcriptional regulatory protein lmo1535	SO:0001217, UniRef:UniRef50_Q8Y6Z5
contig_1	cds	85831	86118	-	LDJNFA_00485		hypothetical protein	
contig_1	cds	86189	86302	-	LDJNFA_00490		hypothetical protein	
contig_1	cds	86486	88111	+	LDJNFA_00495		AA-permease domain-containing protein	SO:0001217, UniRef:UniRef50_S0KC09
contig_1	cds	88185	88643	-	LDJNFA_00500		UPF0756 membrane protein LSA1031	SO:0001217, UniRef:UniRef50_Q38WU8
contig_1	cds	88660	89646	-	LDJNFA_00505		asparaginase	SO:0001217, UniRef:UniRef50_A0A0R1TJG6
contig_1	cds	89656	90108	-	LDJNFA_00510		protein-tyrosine-phosphatase	SO:0001217, UniRef:UniRef50_A0A0F7H4H9
contig_1	cds	90122	90499	-	LDJNFA_00515	crcB	Putative fluoride ion transporter CrcB 2	SO:0001217, UniRef:UniRef50_Q5FKD1
contig_1	cds	90500	90877	-	LDJNFA_00520	crcB	Putative fluoride ion transporter CrcB 1	SO:0001217, UniRef:UniRef50_Q5FKD2
contig_1	cds	90895	91710	-	LDJNFA_00525		Cof-type HAD-IIB family hydrolase	SO:0001217, UniRef:UniRef50_A0A3Q8SUB9
contig_1	cds	91819	92601	-	LDJNFA_00530		hypothetical protein	PFAM:PF08125.16
contig_1	cds	92598	92771	-	LDJNFA_00535		hypothetical protein	
contig_1	cds	92725	92931	-	LDJNFA_00540		hypothetical protein	
contig_1	cds	92993	94804	-	LDJNFA_00545		Glutamine--fructose-6-phosphate aminotransferase [isomerizing]	SO:0001217, UniRef:UniRef50_Q03GU9
contig_1	cds	95022	96374	-	LDJNFA_00550		Phosphoglucosamine mutase	SO:0001217, UniRef:UniRef50_Q74K59
contig_1	cds	96405	97376	-	LDJNFA_00555		YbbR-like protein	SO:0001217, UniRef:UniRef50_N2A566
contig_1	cds	97373	98215	-	LDJNFA_00560		Diadenylate cyclase	SO:0001217, UniRef:UniRef50_C8NIP1
contig_1	cds	98248	99321	-	LDJNFA_00565		Spermidine/putrescine ABC transporter substrate-binding protein	SO:0001217, UniRef:UniRef50_U4TY46
contig_1	cds	99318	100130	-	LDJNFA_00570		ABC transmembrane type-1 domain-containing protein	SO:0001217, UniRef:UniRef50_A0A224X4H8
contig_1	cds	100127	100945	-	LDJNFA_00575		ABC transporter permease	SO:0001217, UniRef:UniRef50_A0A387BP51
contig_1	cds	100938	102035	-	LDJNFA_00580	potA	Spermidine/putrescine import ATP-binding protein PotA	SO:0001217, UniRef:UniRef50_A0A2X1Y0F1
contig_1	cds	102099	102992	-	LDJNFA_00585		UDP-N-acetylenolpyruvoylglucosamine reductase	SO:0001217, UniRef:UniRef50_Q5FL42
contig_1	cds	103134	103667	+	LDJNFA_00590		DNA-directed DNA polymerase III epsilon subunit	SO:0001217, UniRef:UniRef50_U6F1S9
contig_1	cds	103725	104201	-	LDJNFA_00595	tsaE	tRNA threonylcarbamoyladenosine biosynthesis protein TsaE	SO:0001217, UniRef:UniRef50_F0TE93
contig_1	cds	104205	105182	-	LDJNFA_00600		Phosphate acetyltransferase	SO:0001217, UniRef:UniRef50_P39646
contig_1	cds	105201	105881	-	LDJNFA_00605		Uracil-DNA glycosylase	SO:0001217, UniRef:UniRef50_Q88YG1
contig_1	cds	105921	106862	+	LDJNFA_00610		HAD family hydrolase	SO:0001217, UniRef:UniRef50_A0A0R1V9H8
contig_1	cds	106843	107370	+	LDJNFA_00615		Phytase-like domain-containing protein	SO:0001217, UniRef:UniRef50_Q1GB24
contig_1	cds	107367	107933	-	LDJNFA_00620		N-acetyltransferase domain-containing protein	SO:0001217, UniRef:UniRef50_N1ZR94
contig_1	cds	107926	108393	-	LDJNFA_00625		hypothetical protein	PFAM:PF01035.23
contig_1	cds	108462	109217	-	LDJNFA_00630		Triosephosphate isomerase	SO:0001217, UniRef:UniRef50_B0S1G9
contig_1	cds	109237	110448	-	LDJNFA_00635		Phosphoglycerate kinase	SO:0001217, UniRef:UniRef50_Q5FL50
contig_1	cds	110555	111571	-	LDJNFA_00640		Glyceraldehyde-3-phosphate dehydrogenase 1	SO:0001217, UniRef:UniRef50_Q5HQV4
contig_1	cds	111612	112658	-	LDJNFA_00645		Sugar-bind domain-containing protein	SO:0001217, UniRef:UniRef50_A0A5N1IAS6
contig_1	tRNA	112907	112978	+	LDJNFA_00650	trnR	tRNA-Arg(ccg)	SO:0001036
contig_1	cds	113079	114008	-	LDJNFA_00655		Glycosyltransferase, group 2 family protein	SO:0001217, UniRef:UniRef50_E0NGK2
contig_1	cds	114005	114412	-	LDJNFA_00660	gtrA	GtrA domain-containing protein	SO:0001217, UniRef:UniRef50_N1ZZH0
contig_1	cds	114498	115238	-	LDJNFA_00665		hypothetical protein	
contig_1	cds	115282	115947	-	LDJNFA_00670		hypothetical protein	PFAM:PF07523.15, PFAM:PF13457.9
contig_1	cds	116160	117590	+	LDJNFA_00675		Amino acid permease	SO:0001217, UniRef:UniRef50_R9LUT2
contig_1	cds	117680	118456	-	LDJNFA_00680		ABC transporter permease	SO:0001217, UniRef:UniRef50_A0A0R1S5G4
contig_1	cds	118460	119209	-	LDJNFA_00685		ABC superfamily ATP binding cassette transporter, permease protein	SO:0001217, UniRef:UniRef50_A0A0R1S6I3
contig_1	cds	119220	120167	-	LDJNFA_00690	natA	ATP-binding transport protein natA ABC transporter	SO:0001217, UniRef:UniRef50_A0A0R1S2V2
contig_1	cds	120515	121126	-	LDJNFA_00695		hypothetical protein	
contig_1	cds	121102	121332	-	LDJNFA_00700		hypothetical protein	PFAM:PF01381.25, PFAM:PF12844.10, PFAM:PF13560.9
contig_1	cds	121511	121963	+	LDJNFA_00705		Transcriptional repressor	SO:0001217, UniRef:UniRef50_N2A433
contig_1	cds	122002	123609	-	LDJNFA_00710		GW domain-containing protein	SO:0001217, UniRef:UniRef50_A0A2Z3HNV3
contig_1	cds	123781	124365	+	LDJNFA_00715		ATP-dependent Clp protease proteolytic subunit	SO:0001217, UniRef:UniRef50_Q9ZAB0
contig_1	cds	124491	125432	-	LDJNFA_00720	whiA	putative cell division protein WhiA	SO:0001217, UniRef:UniRef50_Q9K707
contig_1	cds	125432	126469	-	LDJNFA_00725		Putative gluconeogenesis factor	SO:0001217, UniRef:UniRef50_P0DG78
contig_1	cds	126479	127354	-	LDJNFA_00730	yvcJ	Nucleotide-binding protein YvcJ	SO:0001217, UniRef:UniRef50_O06973
contig_1	cds	127459	128001	-	LDJNFA_00735		Integral membrane protein	SO:0001217, UniRef:UniRef50_I7L7N7
contig_1	cds	128035	130875	-	LDJNFA_00740		UvrABC system protein A	SO:0001217, UniRef:UniRef50_Q99Y84
contig_1	cds	130865	132913	-	LDJNFA_00745		UvrABC system protein B	SO:0001217, UniRef:UniRef50_B3EFX1
contig_1	cds	133024	134748	-	LDJNFA_00750		Phosphoglucosamine mutase	SO:0001217, UniRef:UniRef50_A0A837BW14
contig_1	cds	134899	135831	-	LDJNFA_00755		Thioredoxin reductase	SO:0001217, UniRef:UniRef50_A0A1Q2T3A9
contig_1	cds	135904	136923	-	LDJNFA_00760		Glycerol-3-phosphate dehydrogenase [NAD(P)+]	SO:0001217, UniRef:UniRef50_Q5FL70
contig_1	cds	136960	137799	-	LDJNFA_00765		Phosphatidylglycerol--prolipoprotein diacylglyceryl transferase	SO:0001217, UniRef:UniRef50_Q88YK2
contig_1	cds	137808	138764	-	LDJNFA_00770		HPr kinase/phosphorylase	SO:0001217, UniRef:UniRef50_Q93FD2
contig_1	cds	138776	139042	-	LDJNFA_00775		hypothetical protein	
contig_1	cds	139051	140049	-	LDJNFA_00780		Peptide chain release factor 2	SO:0001217, UniRef:UniRef50_Q04GC3
contig_1	cds	140224	142623	-	LDJNFA_00785	secA	Protein translocase subunit SecA	SO:0001217, UniRef:UniRef50_Q49VV2
contig_1	cds	142759	143304	-	LDJNFA_00790		Ribosome hibernation promoting factor	SO:0001217, UniRef:UniRef50_F5L4M7
contig_1	cds	143385	144089	-	LDJNFA_00795	comF	ComF family protein	SO:0001217, UniRef:UniRef50_A0A249NIE6
contig_1	cds	144086	145369	-	LDJNFA_00800	comF	ComF operon protein 1	SO:0001217, UniRef:UniRef50_A0A0D5MJN8
contig_1	cds	145415	146077	+	LDJNFA_00805	yigZ	YigZ family protein	SO:0001217, UniRef:UniRef50_F4AG90
contig_1	cds	146092	147273	-	LDJNFA_00810		Putative undecaprenyl-phosphate N-acetyl-glucosaminyl transferase	SO:0001217, UniRef:UniRef50_K0NDB3
contig_1	cds	147388	149019	-	LDJNFA_00815		Ribonuclease Y 1	SO:0001217, UniRef:UniRef50_Q03R31
contig_1	cds	149145	150239	-	LDJNFA_00820	recA	Protein RecA	SO:0001217, UniRef:UniRef50_Q59717
contig_1	cds	150440	151003	-	LDJNFA_00825		CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase	SO:0001217, UniRef:UniRef50_H5T1J2
contig_1	cds	151030	152034	-	LDJNFA_00830		hypothetical protein	PFAM:PF12844.10, PFAM:PF13413.9, PFAM:PF13464.9
contig_1	cds	152099	152827	-	LDJNFA_00835		3-oxoacyl-ACP reductase	SO:0001217, UniRef:UniRef50_A0A1B2IT83
contig_1	cds	152827	154071	-	LDJNFA_00840		Peptidase, M16 family	SO:0001217, UniRef:UniRef50_C2EM00
contig_1	cds	154068	155288	-	LDJNFA_00845		Peptidase M16 inactive domain protein	SO:0001217, UniRef:UniRef50_C2ELZ9
contig_1	cds	155272	157698	-	LDJNFA_00850	ftsK	DNA translocase FtsK	SO:0001217, UniRef:UniRef50_A0A2Z6TEA1
contig_1	cds	157717	158109	-	LDJNFA_00855		DUF1149 domain-containing protein	SO:0001217, UniRef:UniRef50_N2A3M9
contig_1	cds	158112	158669	-	LDJNFA_00860		Putative RNA (cytidine(34)-2'-O)-methyltransferase	SO:0001217, UniRef:UniRef50_Q042B4
contig_1	cds	158727	159920	-	LDJNFA_00865		Permease	SO:0001217, UniRef:UniRef50_D4YVD6
contig_1	cds	159931	160308	-	LDJNFA_00870		PTS family porter, IIA component	SO:0001217, UniRef:UniRef50_F0HXL5
contig_1	cds	160434	161468	+	LDJNFA_00875		6-phosphogluconolactonase	SO:0001217, UniRef:UniRef50_A0A0D5MJQ1
contig_1	cds	161564	162208	+	LDJNFA_00880		hypothetical protein	
contig_1	cds	162270	164045	-	LDJNFA_00885		Oleate hydratase	SO:0001217, UniRef:UniRef50_B5XK69
contig_1	cds	164140	165033	-	LDJNFA_00890		Pseudouridine synthase	SO:0001217, UniRef:UniRef50_A0A0F4LIW3
contig_1	cds	165037	165825	-	LDJNFA_00895		NAD kinase	SO:0001217, UniRef:UniRef50_Q5FL98
contig_1	cds	165822	166454	-	LDJNFA_00900		GTP pyrophosphokinase	SO:0001217, UniRef:UniRef50_A0A0C1M6B6
contig_1	cds	166555	167172	+	LDJNFA_00905		Adenylate cyclase	SO:0001217, UniRef:UniRef50_D4YVE6
contig_1	cds	167244	167882	+	LDJNFA_00910		Dithiol-disulfide isomerase	SO:0001217, UniRef:UniRef50_N1ZSU8
contig_1	cds	167885	168745	-	LDJNFA_00915		Competence protein CoiA-like protein	SO:0001217, UniRef:UniRef50_D4YVE8
contig_1	cds	168814	169485	-	LDJNFA_00920		hypothetical protein	
contig_1	cds	169673	170071	-	LDJNFA_00925		Global transcriptional regulator Spx 2	SO:0001217, UniRef:UniRef50_Q8ERE2
contig_1	cds	170292	172025	-	LDJNFA_00930		Phosphoenolpyruvate-protein phosphotransferase	SO:0001217, UniRef:UniRef50_A0A1A5VEJ0
contig_1	cds	172025	172291	-	LDJNFA_00935		Phosphocarrier protein HPr	SO:0001217, UniRef:UniRef50_P24366
contig_1	cds	172417	172599	-	LDJNFA_00940		hypothetical protein	
contig_1	cds	172761	174983	+	LDJNFA_00945	clpA	ATP-dependent Clp protease ATP-binding subunit ClpA	SO:0001217, UniRef:UniRef50_A0A0D1A4U2
contig_1	cds	175135	175416	+	LDJNFA_00950		DUF1827 domain-containing protein	SO:0001217, UniRef:UniRef50_Q5FLA8
contig_1	cds	175469	177040	-	LDJNFA_00955		Peptide chain release factor 3	SO:0001217, UniRef:UniRef50_Q8Y8C0
contig_1	cds	177033	177905	-	LDJNFA_00960		HlyC/CorC family transporter	SO:0001217, UniRef:UniRef50_Q1GB79
contig_1	cds	178010	178471	+	LDJNFA_00965		Integral membrane protein	SO:0001217, UniRef:UniRef50_Q74IG6
contig_1	cds	178468	178947	-	LDJNFA_00970		GyrI-like domain-containing protein	SO:0001217, UniRef:UniRef50_I7LEQ2
contig_1	cds	178956	179771	-	LDJNFA_00975	recX	Regulatory protein RecX	SO:0001217, UniRef:UniRef50_Q1GB82
contig_1	cds	179889	181268	+	LDJNFA_00980		Uncharacterized RNA methyltransferase LJ_1606	SO:0001217, UniRef:UniRef50_Q74IG2
contig_1	cds	181636	182589	-	LDJNFA_00985		Peptidase-S9 domain-containing protein	SO:0001217, UniRef:UniRef50_A0A0R1R7S4
contig_1	cds	182654	182938	+	LDJNFA_00990		hypothetical protein	
contig_1	cds	182939	184102	-	LDJNFA_00995		Hydroxymethylglutaryl-CoA synthase	SO:0001217, UniRef:UniRef50_A0A3S8SBD2
contig_1	cds	184086	185306	-	LDJNFA_01000		3-hydroxy-3-methylglutaryl coenzyme A reductase	SO:0001217, UniRef:UniRef50_F0HYE3
contig_1	cds	185309	186469	-	LDJNFA_01005		Acetyl-CoA C-acetyltransferase	SO:0001217, UniRef:UniRef50_C2ELW5
contig_1	cds	186594	187508	-	LDJNFA_01010	brkB	YihY/virulence factor BrkB family protein	SO:0001217, UniRef:UniRef50_A0A0D6A5A0
contig_1	cds	187520	188347	-	LDJNFA_01015		Methionine aminopeptidase	SO:0001217, UniRef:UniRef50_Q38VG1
contig_1	cds	188500	188949	+	LDJNFA_01020		Flavodoxin	SO:0001217, UniRef:UniRef50_A0A0R1S4I5
contig_1	cds	188942	189457	+	LDJNFA_01025	gtrA	GtrA domain-containing protein	SO:0001217, UniRef:UniRef50_A0A0R1SFC8
contig_1	cds	189938	190282	+	LDJNFA_01030		Lipoprotein	SO:0001217, UniRef:UniRef50_U4TX51
contig_1	tRNA	190411	190484	-	LDJNFA_01035	trnR	tRNA-Arg(cct)	SO:0001036
contig_1	cds	190532	191860	-	LDJNFA_01040		Permease IIC component	SO:0001217, UniRef:UniRef50_Q5FLC7
contig_1	cds	191857	193110	-	LDJNFA_01045		DEAD/DEAH box helicase	SO:0001217, UniRef:UniRef50_A0A0R2D4Y9
contig_1	cds	193110	193817	-	LDJNFA_01050		Lysozyme	SO:0001217, UniRef:UniRef50_A8YU65
contig_1	cds	193925	195232	+	LDJNFA_01055		Amino acid permease	SO:0001217, UniRef:UniRef50_A0A0R1YFG9
contig_1	cds	195261	195737	-	LDJNFA_01060		Transcriptional regulator	SO:0001217, UniRef:UniRef50_I7LDI3
contig_1	cds	195827	196186	+	LDJNFA_01065		hypothetical protein	
contig_1	cds	196460	197986	-	LDJNFA_01070		hypothetical protein	
